"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
1,EP,006-442-688-555-457,2015-01-21,EP 94304054 A,1994-06-06,Polypropylene,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2005-02-01)",1,0,C08F210/16;;C07C45/46;;C07C49/67;;C07C49/697;;C07F17/00;;C08F4/61912;;C08F4/61927;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F4/65927;;C08F10/00;;C08F10/06;;C08F110/06;;C08F210/06;;Y10S526/904;;Y10S526/943;;C07F17/00;;C08F4/6428;;C08F4/65927;;C08F10/06;;C08F110/06;;C08F210/06;;C08F210/16;;C07C45/46;;C07C49/67;;C07C49/697;;C07F17/00;;C08F4/61912;;C08F4/61927;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F4/65927;;C08F10/00;;C08F10/06;;C08F110/06;;C08F210/06;;Y10S526/904;;Y10S526/943,C07F17/00;;C07C45/46;;C07C49/67;;C07C49/697;;C08F4/60;;C08F4/602;;C08F4/619;;C08F4/6192;;C08F4/64;;C08F4/642;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F10/06;;C08F110/06;;C08F210/06;;C08F210/16,
2,EP,187-111-781-356-265,2000-10-04,EP 94304054 A,1994-06-06,Polypropylene,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2005-02-01)",5,11,C08F210/16;;C07C45/46;;C07C49/67;;C07C49/697;;C07F17/00;;C08F4/61912;;C08F4/61927;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F4/65927;;C08F10/00;;C08F10/06;;C08F110/06;;C08F210/06;;Y10S526/904;;Y10S526/943;;C07F17/00;;C08F4/6428;;C08F4/65927;;C08F10/06;;C08F110/06;;C08F210/06;;C08F210/16;;C07C45/46;;C07C49/67;;C07C49/697;;C07F17/00;;C08F4/61912;;C08F4/61927;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F4/65927;;C08F10/00;;C08F10/06;;C08F110/06;;C08F210/06;;Y10S526/904;;Y10S526/943,C07C45/46;;C07C49/67;;C07C49/697;;C07F17/00;;C08F4/60;;C08F4/602;;C08F4/619;;C08F4/6192;;C08F4/64;;C08F4/642;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F10/06;;C08F110/06;;C08F210/06;;C08F210/16,
3,US,052-680-137-848-781,2001-07-03,US 18234894 A,1994-01-18,Syndiotactic polypropylene copolymer and extruded polypropylene articles,MITSUI CHEMICALS INC,MITSUI TOATSU CHEMICALS INCORPORATED (1994-03-24);;MITSUI CHEMICALS INC (1997-12-19),17,15,C08J5/18;;C08F210/06;;C08J2323/10;;C08L23/10;;Y10S526/916;;Y10T428/1345;;Y10T428/1352;;Y10T428/1397;;C08J5/18;;C08F210/06;;C08J2323/10;;C08L23/10;;Y10S526/916;;Y10T428/1345;;Y10T428/1352;;Y10T428/1397,C08F4/642;;C08F210/06;;C08J5/18;;C08L23/10,526/348;;526/160;;526/348.2;;526/348.3;;526/348.4;;526/348.5;;526/348.6;;526/916;;428/35.5;;428/35.7;;428/36.92;;428/220
4,WO,061-760-054-479-307,2006-06-01,JP 2004017902 W,2004-11-25,POLYPROPYLENE AND APPLICATION OF SAID POLYPROPYLENE TO ELECTRIC MATERIAL,MITSUI CHEMICALS INC;;INUKAI AKIHIRO;;BIRUKAWA JYUN;;MATSUMURA SHUJI,,6,7,C08F110/06;;C08J5/18;;C08J2323/12;;C08L23/10;;C08L2205/02;;C08L2205/025;;C08L2205/03;;C08L2308/00;;C08F110/06;;C08J5/18;;C08J2323/12;;C08L23/10;;C08L2205/02;;C08L2205/025;;C08L2205/03;;C08L2308/00,C08F110/06;;C08J5/18;;C08L23/12,
5,EP,197-318-535-143-791,1998-09-30,EP 94919830 A,1994-06-30,POLYPROPYLENE COMPOSITION,MITSUI CHEMICALS INC;;TOYOTA MOTOR CO LTD,"PRIME POLYMER CO., LTD. (2007-06-29);;TOYOTA JIDOSHA KABUSHIKI KAISHA (2007-06-29);;MITSUI CHEMICALS, INC. (1998-05-13)",8,0,C08L23/12;;C08L21/00;;C08L23/0815;;C08L23/16;;C08L53/00;;C08L23/10;;C08K3/00;;C08L23/16;;C08L53/00;;C08L23/12;;C08L21/00;;C08L23/0815;;C08L23/16;;C08L53/00,C08L21/00;;C08L23/08;;C08L23/12;;C08L23/16;;C08L53/00,
6,KR,102-160-934-441-354,1999-01-15,KR 19950700796 A,1995-02-28,POLYPROPYLENE COMPOSITION,MITSUI CHEMICALS INC;;TOYOTA MOTOR CO LTD,,0,0,C08L23/12;;C08L21/00;;C08L23/0815;;C08L23/16;;C08L53/00;;C08L23/10;;C08K3/00;;C08L23/16;;C08L53/00;;C08L23/12;;C08L21/00;;C08L23/0815;;C08L23/16;;C08L53/00,C08L21/00;;C08L23/08;;C08L23/12;;C08L23/16;;C08L53/00,
7,JP,107-121-332-612-726,2007-01-11,JP 2006276736 A,2006-10-10,POLYPROPYLENE COMPOSITION,MITSUI CHEMICALS INC,,0,5,,C08L23/10;;C08F4/6592;;C08F210/06;;C08L23/14;;C08L23/16,
8,JP,109-062-434-614-808,1998-07-28,JP 234697 A,1997-01-09,POLYPROPYLENE PIPE,MITSUI CHEMICALS INC,,0,6,,B29C47/00;;B29K23/00;;B29L23/00;;C08F4/642;;C08L23/10,
9,JP,193-075-313-710-632,2004-12-02,JP 2004225837 A,2004-08-02,POLYPROPYLENE COMPOSITION,MITSUI CHEMICALS INC,,0,0,,C08L23/10;;C08F4/64;;C08F4/6592;;C08F10/00,
10,JP,011-529-187-795-009,1999-01-19,JP 16433097 A,1997-06-20,POLYPROPYLENE COMPOSITION,MITSUI CHEMICALS INC,,0,7,,C08K3/24;;C08K3/26;;C08K3/34;;C08K3/36;;C08L23/10;;D01F6/06;;D04H3/007;;D04H3/16,
11,CN,037-287-753-491-339,2000-12-13,CN 97103082 A,1997-03-19,Polypropylene film,MITSUI CHEMICALS INC,,0,0,C08J5/18;;C08J2323/12;;C08J2423/06;;C08J2423/08;;C08L23/0815;;C08L23/12;;C08L2201/10;;C08L2205/02;;C08L2207/066,C08J5/18;;C08F110/06;;C08L23/00;;C08L23/08;;C08L23/10;;C08L23/12;;C09J7/00,
12,MY,094-035-069-289-595,2007-10-31,MY PI19971100 A,1997-03-15,POLYPROPYLENE FILMS,MITSUI CHEMICALS INC,,0,0,C08J5/18;;C08J2323/12;;C08J2423/06;;C08J2423/08;;C08L23/0815;;C08L23/12;;C08L2201/10;;C08L2205/02;;C08L2207/066,C08J5/18;;C08F110/06;;C08L23/00;;C08L23/08;;C08L23/10;;C08L23/12;;C09J7/00,
13,JP,176-887-194-984-856,2003-07-18,JP 2003016336 A,2003-01-24,POLYPROPYLENE ELASTOMER,MITSUI CHEMICALS INC,,0,1,,C08F210/06,
14,CN,127-408-563-549-166,2000-10-11,CN 00102650 A,2000-02-22,Polypropylene composition,MITSUI CHEMICALS CO LTD,,0,1,C08L53/00;;C08L23/0815;;C08L23/10;;C08L23/12;;C08L23/16;;C08L53/02;;C08L53/025;;C08L2205/02;;C08L2205/03;;C08L2205/035;;C08L23/12;;C08L53/00;;C08L53/00;;C08L23/0815;;C08L23/10;;C08L23/12;;C08L23/16;;C08L53/02;;C08L53/025;;C08L2205/02;;C08L2205/03;;C08L2205/035,C08L23/10;;C08L53/00,
15,CN,006-898-956-231-543,2003-05-14,CN 00102650 A,2000-02-22,Polypropylene composition,MITSUI CHEMICALS CO LTD,,0,0,C08L53/00;;C08L23/0815;;C08L23/10;;C08L23/12;;C08L23/16;;C08L53/02;;C08L53/025;;C08L2205/02;;C08L2205/03;;C08L2205/035;;C08L23/12;;C08L53/00;;C08L53/00;;C08L23/0815;;C08L23/10;;C08L23/12;;C08L23/16;;C08L53/02;;C08L53/025;;C08L2205/02;;C08L2205/03;;C08L2205/035,C08L23/10;;C08L53/00,
16,EP,044-122-869-345-294,2000-09-06,EP 93310382 A,1993-12-21,Polypropylene composition,MITSUI CHEMICALS INC,"IDEM (1998-11-02);;MITSUI CHEMICALS, INC. (1998-10-01)",6,0,C08L23/12;;C08L23/0815;;C08L23/14;;C08L53/00;;C08L2205/02;;C08L23/12;;C08L23/12;;C08L23/0815;;C08L23/14;;C08L53/00;;C08L2205/02,C08L23/00;;C08L23/08;;C08L23/12;;C08L23/14;;C08L53/00,
17,TW,061-645-059-774-934,2001-06-23,TW 86103093 A,1997-03-13,Polypropylene films,MITSUI CHEMICALS INC,,0,0,C08J5/18;;C08J2323/12;;C08J2423/06;;C08J2423/08;;C08L23/0815;;C08L23/12;;C08L2201/10;;C08L2205/02;;C08L2207/066,C08J5/18;;C08F110/06;;C08L23/00;;C08L23/08;;C08L23/10;;C08L23/12;;C09J7/00,
18,JP,128-947-098-744-298,2001-02-20,JP 22659299 A,1999-08-10,PRODUCTION OF POLYPROPYLENE,GRAND POLYMER KK;;MITSUI CHEMICALS INC,,0,0,,C08F10/06;;C08F4/60,
19,JP,196-023-900-750-924,1999-05-25,JP 31025697 A,1997-11-12,POLYPROPYLENE COMPOSITE FILM,MITSUI CHEMICALS INC,,0,19,,B65D65/40;;B32B27/32;;C08K5/09;;C08L23/12;;C08L23/14,
20,CA,192-372-684-030-454,1993-07-18,CA 2087326 A,1993-01-14,POLYPROPYLENE-LAMINATED STEEL SHEET AND PRODUCTION THEREOF,NIPPON STEEL CORP;;MITSUI PETROCHEMICAL IND;;MITSUI CHEMICALS INC,,0,0,B32B15/08;;B32B37/08;;B32B15/085;;B32B15/18;;B32B27/32;;B32B2307/704;;B32B2307/718;;B32B2309/02;;B32B2309/105,B32B37/00;;B29K23/00;;B32B15/08;;B32B15/085,
21,US,054-312-821-420-160,1998-11-17,US 54003595 A,1995-10-06,Polypropylene-laminated steel sheet,MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (1997-10-03);;MITSUI PETROCHEMICAL INDUSTRIES (1995-10-30),11,3,B32B15/08;;B32B37/08;;Y10T428/24959;;Y10T428/24975;;Y10T428/263;;Y10T428/2826;;Y10T428/31678;;Y10T428/31692;;Y10T428/31699;;B32B15/085;;B32B15/18;;B32B37/06;;B32B37/08;;B32B37/153;;B32B2309/02;;B32B2323/10;;B32B15/08;;B32B37/08;;Y10T428/24959;;Y10T428/24975;;Y10T428/263;;Y10T428/2826;;Y10T428/31678;;Y10T428/31692;;Y10T428/31699,B32B15/08,428/216;;428/214;;428/334;;428/349;;428/461;;428/463
22,CN,002-976-076-332-800,2006-12-13,CN 200410058258 A,2004-08-20,"Propylene polymer, polypropylene resin composition and polypropylene sheet and preform",MITSUI CHEMICALS INC,,0,0,C08F210/06;;B29D7/01;;C08F210/02;;C08F210/16;;C08J5/18;;C08J2323/12;;C08L23/14;;C08L2203/16,C08F10/06;;C08F210/06;;C08J5/18;;C08L23/14,
23,TW,032-210-678-896-717,2013-04-01,TW 100132827 A,2006-05-18,"Polypropylene-based polymer, polypropylene-based compositions and uses thereof",MITSUI CHEMICALS INC,,7,0,C08F210/06;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F10/00;;C08J5/18;;C08J2323/10;;C08L23/14;;C08L23/142;;C08L2205/025;;C08L2205/03;;C08L2314/06;;Y10T428/1397;;C08F4/642;;C08F4/64;;C08F10/00;;C08L23/00;;C08F210/06;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F10/00;;C08F2420/00;;C08F2500/01;;C08F2500/03;;C08F2500/11;;C08F2500/16;;C08F2500/17;;C08F2800/10;;C08J5/18;;C08J2323/10;;C08L23/14;;C08L23/142;;C08L2203/00;;C08L2203/16;;C08L2205/025;;C08L2205/03;;C08L2207/04;;C08L2207/12;;C08L2314/06;;Y10T428/1397,C08F10/06;;C08J5/18;;C08L23/14,
24,TW,101-945-120-645-28X,2012-02-01,TW 100132827 A,2006-05-18,"Polypropylene-based polymer, polypropylene-based compositions and uses thereof",MITSUI CHEMICALS INC,,0,0,C08F210/06;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F10/00;;C08J5/18;;C08J2323/10;;C08L23/14;;C08L23/142;;C08L2205/025;;C08L2205/03;;C08L2314/06;;Y10T428/1397;;C08F4/642;;C08F4/64;;C08F10/00;;C08L23/00;;C08F210/06;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F10/00;;C08F2420/00;;C08F2500/01;;C08F2500/03;;C08F2500/11;;C08F2500/16;;C08F2500/17;;C08F2800/10;;C08J5/18;;C08J2323/10;;C08L23/14;;C08L23/142;;C08L2203/00;;C08L2203/16;;C08L2205/025;;C08L2205/03;;C08L2207/04;;C08L2207/12;;C08L2314/06;;Y10T428/1397,C08F10/06;;C08J5/18;;C08L23/14,
25,JP,072-207-396-117-563,2004-10-21,JP 2003089835 A,2003-03-28,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC,,0,7,,C08L53/00;;C08K3/34,
26,JP,078-446-350-708-145,1998-10-20,JP 8962297 A,1997-04-08,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC,,0,2,,C08K3/08;;C08K5/17;;C08K5/49;;C08L23/10,
27,JP,108-370-400-586-632,2007-02-22,JP 2005234500 A,2005-08-12,METHOD FOR PRODUCING POLYPROPYLENE,PRIME POLYMER KK;;MITSUI CHEMICALS INC,,5,3,,C08F6/00,
28,CA,112-899-202-475-581,2007-08-07,CA 2222076 A,1997-11-25,POLYPROPYLENE RESIN COMPOSITIONS,MITSUI CHEMICALS INC,,0,0,C08J5/18;;C08J2323/10;;C08L23/0815;;C08L23/10;;C08L23/14;;C08L23/142;;C08L23/16;;C08L2205/02;;C08L2205/03;;C08L23/10;;C08L21/00;;C08L23/08,C08L23/10;;C08J5/18;;C08L23/08;;C08L23/14;;C08L23/16,
29,JP,154-702-031-139-365,1999-01-19,JP 16431497 A,1997-06-20,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC,,0,0,,C08K5/20;;C08L23/10;;D01F6/06,
30,JP,154-100-955-075-412,2006-03-30,JP 2004268033 A,2004-09-15,STRETCHED POLYPROPYLENE FILM,MITSUI CHEMICALS INC,,4,7,,C08J5/18;;B29C55/02;;B29K23/00;;C08L23/12;;H01B3/44;;H01B17/56,
31,JP,181-878-856-735-370,1999-09-14,JP 4802498 A,1998-02-27,POLYPROPYLENE COMPOSITE FILM,MITSUI CHEMICALS INC,,0,16,,B32B27/32;;C08F4/622;;C08F4/6392;;C08F210/06;;C08F210/08;;C08L23/14;;C08L23/20,
32,SG,010-008-405-976-749,1999-05-25,SG 1997004128 A,1997-11-25,Polypropylene resin compositions,MITSUI CHEMICALS INC,,0,0,C08J5/18;;C08J2323/10;;C08L23/0815;;C08L23/10;;C08L23/14;;C08L23/142;;C08L23/16;;C08L2205/02;;C08L2205/03;;C08L23/10;;C08L21/00;;C08L23/08,C08J5/18;;C08L23/08;;C08L23/10;;C08L23/14;;C08L23/16,
33,JP,000-791-075-842-872,2004-08-05,JP 2003005641 A,2003-01-14,MODIFIED POLYPROPYLENE RESIN,MITSUI CHEMICALS INC,,0,21,,C08K3/00;;C08F255/02;;C08L51/06,
34,JP,029-454-739-924-017,1998-11-10,JP 11102897 A,1997-04-28,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC;;GRAND POLYMER KK,,0,15,,C08K3/00;;C08L23/10;;C08L53/02,
35,EP,043-492-670-629-080,1998-05-27,EP 97120753 A,1997-11-26,Polypropylene resin compositions,MITSUI CHEMICALS INC,,3,30,C08J5/18;;C08J2323/10;;C08L23/0815;;C08L23/10;;C08L23/14;;C08L23/142;;C08L23/16;;C08L2205/02;;C08L2205/03;;C08L23/10;;C08L21/00;;C08L23/08,C08J5/18;;C08L23/08;;C08L23/10;;C08L23/14;;C08L23/16,
36,JP,195-942-963-130-854,2000-07-11,JP 29496399 A,1999-10-18,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC,,0,5,,C08L23/10;;C08F4/642;;C08F4/659;;C08F4/6592;;C08F210/16;;C08L23/16;;C08L23/18;;C08L53/00,
37,CN,073-836-542-561-899,2007-04-25,CN 200510055496 A,2005-03-18,Polypropylene resin compositions,MITSUI CHEMICALS INC,"PURIMAN POLYMER CO., LTD.; TOYOTA JIDOSHA K. K.; (2007-08-31)",4,1,C08L53/00;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/0815;;C08L23/10;;C08L23/16;;C08L23/30;;C08L51/06;;C08L53/02;;C08L53/025;;C08L53/00;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/0815;;C08L23/10;;C08L23/16;;C08L23/30;;C08L51/06;;C08L53/02;;C08L53/025,C08L23/14;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/08;;C08L23/10;;C08L23/12;;C08L23/16;;C08L23/30;;C08L51/06;;C08L53/00;;C08L53/02,
38,JP,121-688-996-124-033,2005-06-30,JP 2003415959 A,2003-12-15,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC,,17,9,,C08F10/06,
39,JP,011-805-377-076-580,1998-08-11,JP 32424197 A,1997-11-26,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC,,0,13,,C08L23/08;;C08L23/10;;C08L23/20,
40,KR,033-968-801-250-408,1999-01-15,KR 19940027664 A,1994-10-27,INFLATION MOLDING OF POLYPROPYLENE,MITSUI TOATSU CHEMICALS;;MITSUI CHEMICALS INC,,0,0,B29D7/01;;B29C48/0018;;B29C48/022;;B29C48/10;;B29C48/912;;B29K2023/12;;B29K2995/0026;;B29C55/28;;B29C49/0005;;B29K2023/12;;B29K2023/14,C08J5/18;;B29C48/10;;B29C55/28;;B29D7/01;;B29K23/00;;C08L23/00;;C08L23/10,
41,JP,098-452-528-788-709,2024-09-19,JP 2023033428 A,2023-03-06,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC,,0,0,,C08L53/00;;C08L23/10;;C08L51/06;;C08L77/00,
42,CA,113-758-017-740-117,1998-11-24,CA 607411 A,1989-08-03,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC,,0,0,C08L23/142;;C08L23/0815;;C08L23/14;;C08L23/16;;C08L2205/02;;C08L2205/03;;C08L23/12;;C08L23/142;;C08L23/0815;;C08L23/14;;C08L23/16;;C08L2205/02;;C08L2205/03,C08L23/08;;C08J5/18;;C08L23/00;;C08L23/10;;C08L23/12;;C08L23/14;;C08L23/16;;C08L23/18;;C08L53/00,D34004919    M
43,JP,142-931-814-804-839,2000-07-11,JP 29496099 A,1999-10-18,SOFT POLYPROPYLENE COMPOSITION,MITSUI CHEMICALS INC,,0,10,,C08L23/14;;C08F4/642;;C08F4/659;;C08F4/6592;;C08F210/06,
44,JP,142-508-752-350-975,1998-08-04,JP 945197 A,1997-01-22,EXTRUDED POLYPROPYLENE FILM,MITSUI CHEMICALS INC,,0,10,,C08J5/18;;B29C48/305;;B29L7/00;;C08L23/12;;C09K15/08;;C09K15/32,
45,JP,033-681-036-408-74X,1999-09-14,JP 4948998 A,1998-03-02,STRETCHED POLYPROPYLENE FILM,MITSUI CHEMICALS INC,,0,3,,C08J5/18;;B29C55/02;;C08F10/06,
46,JP,053-856-663-317-238,2005-11-17,JP 2004137320 A,2004-05-06,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC,,0,5,,C08L23/10;;C08K5/1515,
47,JP,077-981-273-059-150,2019-06-24,JP 2018104857 A,2018-05-31,ORIENTED POLYPROPYLENE FIBER,PRIME POLYMER CO LTD;;UNIV SHINSHU;;MITSUI CHEMICALS INC,,0,1,,D01F6/06,
48,JP,141-795-872-181-924,2006-03-30,JP 2004269942 A,2004-09-16,MODIFIED POLYPROPYLENE RESIN,MITSUI CHEMICALS INC,,0,5,,C08F255/02,
49,CN,169-773-226-425-014,2005-09-21,CN 200510055496 A,2005-03-18,Polypropylene resin compositions,MITSUI CHEMICALS INC,"PURIMAN POLYMER CO., LTD.; TOYOTA JIDOSHA K. K.; (2007-08-31)",0,6,C08L53/00;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/0815;;C08L23/10;;C08L23/16;;C08L23/30;;C08L51/06;;C08L53/02;;C08L53/025;;C08L53/00;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/0815;;C08L23/10;;C08L23/16;;C08L23/30;;C08L51/06;;C08L53/02;;C08L53/025,C08F110/06;;C08F210/06;;C08F255/02;;C08L23/08;;C08L23/10;;C08L23/12;;C08L23/14;;C08L23/16;;C08L23/30;;C08L51/06;;C08L53/00;;C08L53/02,
50,CN,180-354-113-530-952,2001-12-19,CN 96102710 A,1996-02-01,Polypropylene composite film,MITSUI CHEMICALS INC,,4,0,B32B27/32;;C08L23/12;;C08L23/142;;C08L2203/16;;C08L2314/06;;Y10S428/91;;Y10S526/943;;Y10T428/31913;;B32B27/32;;B32B27/08;;B32B27/32;;B32B2250/242;;B32B2307/516;;B32B2307/518;;B32B2307/704;;B32B2439/70;;C08L23/12;;C08L23/142;;C08L2203/16;;C08L2314/06;;Y10S428/91;;Y10S526/943;;Y10T428/31913,B32B27/32;;C08L23/16,
51,EP,188-722-564-887-886,2004-06-02,EP 96301420 A,1996-03-01,Polypropylene composite film,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2005-02-01)",7,0,B32B27/32;;C08L23/12;;C08L23/142;;C08L2203/16;;C08L2314/06;;Y10S428/91;;Y10S526/943;;Y10T428/31913;;B32B27/32;;B32B27/08;;B32B27/32;;B32B2250/242;;B32B2307/516;;B32B2307/518;;B32B2307/704;;B32B2439/70;;C08L23/12;;C08L23/142;;C08L2203/16;;C08L2314/06;;Y10S428/91;;Y10S526/943;;Y10T428/31913,B32B27/32;;C08L23/16,
52,TW,049-375-855-981-887,2005-01-01,TW 92133316 A,2003-11-27,Polypropylene resin composition,MITSUI CHEMICALS INC,,0,2,C08L53/00,C08K3/00;;C08L53/00,
53,MY,027-099-937-055-880,2005-07-29,MY PI9600696 A,1996-02-27,POLYPROPYLENE COMPOSITE FILM,MITSUI CHEMICALS INC,,6,0,B32B27/32;;C08L23/12;;C08L23/142;;C08L2203/16;;C08L2314/06;;Y10S428/91;;Y10S526/943;;Y10T428/31913;;B32B27/32;;B32B27/08;;B32B27/32;;B32B2250/242;;B32B2307/516;;B32B2307/518;;B32B2307/704;;B32B2439/70;;C08L23/12;;C08L23/142;;C08L2203/16;;C08L2314/06;;Y10S428/91;;Y10S526/943;;Y10T428/31913,B32B27/32;;C08L23/10;;C08L23/12;;C08L23/16,
54,JP,107-950-998-799-839,2004-03-11,JP 2003161702 A,2003-06-06,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC,,0,4,,C08L23/10;;C08L23/26;;C08L25/12;;C08L51/06,
55,CA,102-041-530-060-238,1995-07-11,CA 2015650 A,1990-04-27,SYNDIOTACTIC POLYPROPYLENE COPOLYMER,MITSUI CHEMICALS INC,,0,0,C08F210/06,C08F210/06,D34020622    M
56,MY,105-755-857-486-170,2005-03-31,MY PI9705713 A,1997-11-26,POLYPROPYLENE RESIN COMPOSITIONS,MITSUI CHEMICALS INC,,0,0,C08J5/18;;C08J2323/10;;C08L23/0815;;C08L23/10;;C08L23/14;;C08L23/142;;C08L23/16;;C08L2205/02;;C08L2205/03;;C08L23/10;;C08L21/00;;C08L23/08,C08L23/10;;C08J5/18;;C08L23/08;;C08L23/14;;C08L23/16,
57,JP,177-935-375-348-269,2005-09-29,JP 2004080255 A,2004-03-19,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC;;TOYOTA MOTOR CORP;;SUMITOMO CHEMICAL CO,,9,6,,C08L53/00;;C08K3/00;;C08K3/04;;C08L23/08;;C08L23/12;;C08L51/06,
58,EP,030-985-991-343-554,2005-11-16,EP 05005962 A,2005-03-18,Polypropylene resin compositions,MITSUI CHEMICALS INC;;TOYOTA MOTOR CO LTD;;SUMITOMO CHEMICAL CO,"PRIME POLYMER CO., LTD. (2007-08-15);;TOYOTA JIDOSHA KABUSHIKI KAISHA (2007-08-15);;SUMITOMO CHEMICAL COMPANY, LIMITED (2007-08-15)",1,0,C08L53/00;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/0815;;C08L23/10;;C08L23/16;;C08L23/30;;C08L51/06;;C08L53/02;;C08L53/025;;C08L53/00;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/0815;;C08L23/10;;C08L23/16;;C08L23/30;;C08L51/06;;C08L53/02;;C08L53/025,C08F110/06;;C08F210/06;;C08F255/02;;C08L23/08;;C08L23/10;;C08L23/12;;C08L23/14;;C08L23/16;;C08L23/30;;C08L51/06;;C08L53/00;;C08L53/02,
59,JP,007-886-834-750-394,1998-06-16,JP 25539197 A,1997-09-19,POLYPROPYLENE MULTILAYERED LAMINATE,MITSUI CHEMICALS INC,,0,9,,B32B25/16;;B32B27/32,
60,JP,010-351-262-084-679,2000-12-12,JP 15801299 A,1999-06-04,SYNDIOTACTIC POLYPROPYLENE COMPOSITION,MITSUI CHEMICALS INC,,0,10,,C08J3/24;;C08F4/622;;C08F4/6392;;C08J3/28;;C08J5/18;;C08K3/00;;C08L23/10;;C08L51/06,
61,JP,056-756-002-878-16X,2005-09-29,JP 2004079803 A,2004-03-19,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC;;TOYOTA MOTOR CORP;;SUMITOMO CHEMICAL CO,,5,7,,C08L53/00;;C08K3/04;;C08K3/34;;C08L23/08;;C08L23/12,
62,JP,079-729-251-023-681,2003-05-21,JP 2001342856 A,2001-11-08,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC,,0,26,,C08L23/10;;C08F4/645;;C08F4/6592;;C08K3/00;;C08L23/08,
63,EP,128-059-018-142-313,2005-09-28,EP 05005962 A,2005-03-18,Polypropylene resin compositions,MITSUI CHEMICALS INC;;TOYOTA MOTOR CO LTD;;SUMITOMO CHEMICAL CO,"PRIME POLYMER CO., LTD. (2007-08-15);;TOYOTA JIDOSHA KABUSHIKI KAISHA (2007-08-15);;SUMITOMO CHEMICAL COMPANY, LIMITED (2007-08-15)",0,8,C08L53/00;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/0815;;C08L23/10;;C08L23/16;;C08L23/30;;C08L51/06;;C08L53/02;;C08L53/025;;C08L53/00;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/0815;;C08L23/10;;C08L23/16;;C08L23/30;;C08L51/06;;C08L53/02;;C08L53/025,C08F110/06;;C08F210/06;;C08F255/02;;C08L23/08;;C08L23/10;;C08L23/12;;C08L23/14;;C08L23/16;;C08L23/30;;C08L51/06;;C08L53/00;;C08L53/02,
64,EP,174-412-783-208-52X,2007-08-01,EP 03817212 A,2003-11-11,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC,"PRIME POLYMER CO., LTD. (2007-08-15)",4,0,C08L53/00,C08L53/00;;C08K3/00,
65,JP,034-078-209-448-070,1999-01-19,JP 18465797 A,1997-06-26,EXTRUDED POLYPROPYLENE FILM,MITSUI CHEMICALS INC,,0,1,,C08J5/18;;B29C47/00;;B29K23/00;;B29L7/00;;C08L53/00,
66,AU,119-169-228-574-57X,1997-06-05,AU 1996/071972 A,1996-11-25,Polypropylene resin composition,MITSUI CHEMICALS INC;;TOYOTA MOTOR CO LTD,,0,0,C08L53/00;;C08L23/16;;C08K3/34;;C08L23/08;;C08L53/00;;C08L53/00,C08K3/34;;C08L23/08;;C08L53/00,
67,JP,195-282-903-558-321,2004-08-05,JP 2003005642 A,2003-01-14,MODIFIED POLYPROPYLENE RESIN,MITSUI CHEMICALS INC,,0,12,,C08K3/00;;C08F255/02;;C08L51/06,
